step,envId,formationType,timeStep,receiverId,old_threshold,delta_T,new_threshold,benign_exceedance_rate,reward
102,0,0,6,4,1.0,-0.14444875717163086,1.0,0.0,-0.003708654548972845
103,0,0,6,5,1.0,-0.22603702545166016,1.0,0.0,-0.004010927397757769
104,0,0,6,6,1.0,-0.23340630531311035,1.0,0.0,-0.004044785164296627
105,0,0,6,7,1.0,-0.19630169868469238,1.0,0.0,-0.0038853436708450317
106,0,0,6,8,1.0,-0.14876163005828857,1.0,0.0,-0.0037213002797216177
107,0,0,6,9,1.0,-0.06860804557800293,1.0,0.0,-0.003547070547938347
108,0,0,6,10,1.0,-0.04259061813354492,1.0,0.0,-0.003518139710649848
109,0,0,6,11,1.0,-0.11610531806945801,1.0,0.0,-0.003634804394096136
110,0,0,6,12,1.0,-0.16397476196289062,1.0,0.0,-0.003768877126276493
111,0,0,6,13,1.0,-0.09465813636779785,1.0,0.0,-0.0035896017216145992
112,0,0,6,14,1.0,-0.1201094388961792,1.0,0.0,-0.0036442626733332872
113,0,0,6,15,1.0,-0.1385420560836792,1.0,0.0,-0.003691938938573003
114,0,0,6,16,1.0,-0.2113262414932251,1.0,0.0,-0.003946587909013033
115,0,0,6,17,1.0,-0.09387314319610596,1.0,0.0,-0.0035881216172128916
116,0,0,6,18,1.0,-0.11728525161743164,1.0,0.0,-0.003637558314949274
117,0,0,6,19,1.0,-0.21145057678222656,1.0,0.0,-0.003947113640606403
118,0,0,6,20,1.0,-0.23865556716918945,1.0,0.0,-0.004069564864039421
119,0,0,7,1,1.0,-0.2505488395690918,1.0,0.0,-0.004127747379243374
120,0,0,7,2,1.0,-0.1615767478942871,1.0,0.0,-0.0037610705476254225
121,0,0,7,3,1.0,-0.09054684638977051,1.0,0.0,-0.003581987228244543
122,0,0,7,4,1.0,-0.1608039140701294,1.0,0.0,-0.0037585790269076824
123,0,0,7,5,1.0,-0.24446916580200195,1.0,0.0,-0.004097651690244675
124,0,0,7,6,1.0,-0.2444167137145996,1.0,0.0,-0.004097395110875368
125,0,0,7,7,1.0,-0.19229865074157715,1.0,0.0,-0.0038697877898812294
126,0,0,7,8,1.0,-0.1430068016052246,1.0,0.0,-0.0037045094650238752
127,0,0,7,9,1.0,-0.041595458984375,1.0,0.0,-0.0035173017531633377
128,0,0,7,10,1.0,-0.07323765754699707,1.0,0.0,-0.0035536375362426043
