step,envId,formationType,timeStep,receiverId,old_threshold,delta_T,new_threshold,benign_exceedance_rate,reward
102,0,0,6,4,1.0,-2.0,1.0,0.0,-0.043500000000000004
103,0,0,6,5,1.0,-2.0,1.0,0.0,-0.043500000000000004
104,0,0,6,6,1.0,-2.0,1.0,0.0,-0.043500000000000004
105,0,0,6,7,1.0,-2.0,1.0,0.0,-0.043500000000000004
106,0,0,6,8,1.0,-2.0,1.0,0.0,-0.043500000000000004
107,0,0,6,9,1.0,-2.0,1.0,0.0,-0.043500000000000004
108,0,0,6,10,1.0,-2.0,1.0,0.0,-0.043500000000000004
109,0,0,6,11,1.0,-2.0,1.0,0.0,-0.043500000000000004
110,0,0,6,12,1.0,-2.0,1.0,0.0,-0.043500000000000004
111,0,0,6,13,1.0,-1.9999998807907104,1.0,0.0,-0.04349999523162856
112,0,0,6,14,1.0,-2.0,1.0,0.0,-0.043500000000000004
113,0,0,6,15,1.0,-2.0,1.0,0.0,-0.043500000000000004
114,0,0,6,16,1.0,-2.0,1.0,0.0,-0.043500000000000004
115,0,0,6,17,1.0,-2.0,1.0,0.0,-0.043500000000000004
116,0,0,6,18,1.0,-2.0,1.0,0.0,-0.043500000000000004
117,0,0,6,19,1.0,-2.0,1.0,0.0,-0.043500000000000004
118,0,0,6,20,1.0,-2.0,1.0,0.0,-0.043500000000000004
119,0,0,7,1,1.0,-2.0,1.0,0.0,-0.043500000000000004
120,0,0,7,2,1.0,-2.0,1.0,0.0,-0.043500000000000004
121,0,0,7,3,1.0,-2.0,1.0,0.0,-0.043500000000000004
122,0,0,7,4,1.0,-2.0,1.0,0.0,-0.043500000000000004
123,0,0,7,5,1.0,-2.0,1.0,0.0,-0.043500000000000004
124,0,0,7,6,1.0,-2.0,1.0,0.0,-0.043500000000000004
125,0,0,7,7,1.0,-2.0,1.0,0.0,-0.043500000000000004
126,0,0,7,8,1.0,-2.0,1.0,0.0,-0.043500000000000004
127,0,0,7,9,1.0,-2.0,1.0,0.0,-0.043500000000000004
128,0,0,7,10,1.0,-2.0,1.0,0.0,-0.043500000000000004
129,0,0,7,11,1.0,-2.0,1.0,0.0,-0.043500000000000004
130,0,0,7,12,1.0,-2.0,1.0,0.0,-0.043500000000000004
131,0,0,7,13,1.0,-1.9999998807907104,1.0,0.0,-0.04349999523162856
132,0,0,7,14,1.0,-2.0,1.0,0.0,-0.043500000000000004
133,0,0,7,15,1.0,-2.0,1.0,0.0,-0.043500000000000004
134,0,0,7,16,1.0,-2.0,1.0,0.0,-0.043500000000000004
135,0,0,7,17,1.0,-2.0,1.0,0.0,-0.043500000000000004
136,0,0,7,18,1.0,-2.0,1.0,0.0,-0.043500000000000004
137,0,0,7,19,1.0,-2.0,1.0,0.0,-0.043500000000000004
138,0,0,7,20,1.0,-2.0,1.0,0.0,-0.043500000000000004
139,0,0,8,1,1.0,-2.0,1.0,0.0,-0.043500000000000004
140,0,0,8,2,1.0,-2.0,1.0,0.0,-0.043500000000000004
141,0,0,8,3,1.0,-2.0,1.0,0.0,-0.043500000000000004
142,0,0,8,4,1.0,-2.0,1.0,0.0,-0.043500000000000004
143,0,0,8,5,1.0,-2.0,1.0,0.0,-0.043500000000000004
144,0,0,8,6,1.0,-2.0,1.0,0.0,-0.043500000000000004
145,0,0,8,7,1.0,-2.0,1.0,0.0,-0.043500000000000004
146,0,0,8,8,1.0,-2.0,1.0,0.0,-0.043500000000000004
147,0,0,8,9,1.0,-2.0,1.0,0.0,-0.043500000000000004
148,0,0,8,10,1.0,-2.0,1.0,0.0,-0.043500000000000004
149,0,0,8,11,1.0,-2.0,1.0,0.0,-0.043500000000000004
