envId,formationType,timeStep,receiverId,sigma_rssi_bar,sigma_gps_bar,snr_bar,plr_bar,relative_speed_bar,relative_height_bar,trusted_count,trust_bar,theta
0,1,6,3,184.473764917656,184.473764917657,Inf,1,0,7.47162918325744,16,0.999999999999999,10
0,1,6,4,105.777146868561,105.777146868561,Inf,1,0,6.87415705246349,16,0.999999999999999,10
0,1,6,5,80.509566793048,80.5095667930482,Inf,1,0,5.99079658376258,16,0.999999999999999,10
0,1,6,6,116.306052563263,116.306052563263,Inf,1,0,5.59198420777973,16,0.999999999999998,10
0,1,6,7,149.970895578704,149.970895578704,Inf,1,0,6.92478603840012,16,0.999999999999998,10
0,1,6,8,80.9490871031661,80.9490871031662,Inf,1,0,7.51112127721805,16,0.999999999999999,10
0,1,6,9,104.704827000473,104.704827000473,Inf,1,0,6.08888796713876,16,0.999999999999999,10
0,1,6,10,103.557247087183,103.557247087184,Inf,1,0,5.26414337678914,16,0.999999999999999,10
0,1,6,11,42.6174743536664,42.6174743536664,Inf,1,0,6.95731701115336,16,0.999999999999999,10
0,1,6,12,105.281211780344,105.281211780344,Inf,1,0,5.2752339891143,16,0.999999999999999,10
0,1,6,13,56.4270044986526,56.4270044986526,Inf,1,0,7.30579235178771,16,0.999999999999999,10
0,1,6,14,58.2751278664496,58.2751278664497,Inf,1,0,10.8766445196938,16,0.999999999999999,10
0,1,6,15,75.0377281480487,75.0377281480488,Inf,1,0,8.13137205245123,16,0.999999999999999,10
0,1,6,16,57.6854867624525,57.6854867624526,Inf,1,0,5.43878218444789,16,0.999999999999999,10
0,1,6,17,96.7381116163766,96.7381116163766,Inf,1,0,6.21995063861491,16,0.999999999999999,10
0,1,6,18,137.299018667413,137.299018667413,Inf,1,0,5.6621911703417,16,0.999999999999999,10
0,1,6,19,76.816147588173,76.816147588173,Inf,1,0,7.34687264741979,16,0.999999999999999,10
0,1,6,20,135.181596361048,135.181596361048,Inf,1,0,5.6754518934465,16,0.999999999999998,10
0,1,7,1,46.4705689169894,46.4705689169895,Inf,1,0,5.12706160341782,16,0.999999999999999,10
0,1,7,2,128.810839703762,128.810839703762,Inf,1,0,7.31572868370343,16,0.999999999999999,10
0,1,7,3,184.473764917656,184.473764917657,Inf,1,0,7.47162918325744,16,0.999999999999999,10
0,1,7,4,105.777146868561,105.777146868561,Inf,1,0,6.87415705246349,16,0.999999999999999,10
0,1,7,5,80.509566793048,80.5095667930482,Inf,1,0,5.99079658376258,16,0.999999999999999,10
0,1,7,6,116.306052563263,116.306052563263,Inf,1,0,5.59198420777973,16,0.999999999999998,10
0,1,7,7,149.970895578704,149.970895578704,Inf,1,0,6.92478603840012,16,0.999999999999998,10
0,1,7,8,80.9490871031661,80.9490871031662,Inf,1,0,7.51112127721805,16,0.999999999999999,10
0,1,7,9,104.704827000473,104.704827000473,Inf,1,0,6.08888796713876,16,0.999999999999999,10
0,1,7,10,103.557247087183,103.557247087184,Inf,1,0,5.26414337678914,16,0.999999999999999,10
0,1,7,11,42.6174743536664,42.6174743536664,Inf,1,0,6.95731701115336,16,0.999999999999999,10
0,1,7,12,105.281211780344,105.281211780344,Inf,1,0,5.2752339891143,16,0.999999999999999,10
0,1,7,13,56.4270044986526,56.4270044986526,Inf,1,0,7.30579235178771,16,0.999999999999999,10
0,1,7,14,58.2751278664496,58.2751278664497,Inf,1,0,10.8766445196938,16,0.999999999999999,10
0,1,7,15,75.0377281480487,75.0377281480488,Inf,1,0,8.13137205245123,16,0.999999999999999,10
0,1,7,16,57.6854867624525,57.6854867624526,Inf,1,0,5.43878218444789,16,0.999999999999999,10
0,1,7,17,96.7381116163766,96.7381116163766,Inf,1,0,6.21995063861491,16,0.999999999999999,10
0,1,7,18,137.299018667413,137.299018667413,Inf,1,0,5.6621911703417,16,0.999999999999999,10
0,1,7,19,76.816147588173,76.816147588173,Inf,1,0,7.34687264741979,16,0.999999999999999,10
0,1,7,20,135.181596361048,135.181596361048,Inf,1,0,5.6754518934465,16,0.999999999999998,10
0,1,8,1,46.4705689169894,46.4705689169895,Inf,1,0,5.12706160341782,16,0.999999999999999,10
0,1,8,2,128.810839703762,128.810839703762,Inf,1,0,7.31572868370343,16,0.999999999999999,10
0,1,8,3,184.473764917656,184.473764917657,Inf,1,0,7.47162918325744,16,0.999999999999999,10
0,1,8,4,105.777146868561,105.777146868561,Inf,1,0,6.87415705246349,16,0.999999999999999,10
0,1,8,5,80.509566793048,80.5095667930482,Inf,1,0,5.99079658376258,16,0.999999999999999,10
0,1,8,6,116.306052563263,116.306052563263,Inf,1,0,5.59198420777973,16,0.999999999999998,10
0,1,8,7,149.970895578704,149.970895578704,Inf,1,0,6.92478603840012,16,0.999999999999998,10
