step,envId,formationType,timeStep,receiverId,old_threshold,delta_T,new_threshold,benign_exceedance_rate,reward
175,0,0,9,17,50.0,2.0,50.0,0.0,-0.0925
176,0,0,9,18,50.0,2.0,50.0,0.0,-0.0925
177,0,0,9,19,50.0,2.0,50.0,0.0,-0.0925
178,0,0,9,20,50.0,2.0,50.0,0.0,-0.0925
179,0,0,10,1,50.0,2.0,50.0,0.0,-0.0925
180,0,0,10,2,50.0,2.0,50.0,0.0,-0.0925
181,0,0,10,3,50.0,2.0,50.0,0.0,-0.0925
182,0,0,10,4,50.0,2.0,50.0,0.0,-0.0925
183,0,0,10,5,50.0,2.0,50.0,0.0,-0.0925
184,0,0,10,6,50.0,2.0,50.0,0.0,-0.0925
185,0,0,10,7,50.0,2.0,50.0,0.0,-0.0925
186,0,0,10,8,50.0,2.0,50.0,0.0,-0.0925
187,0,0,10,9,50.0,2.0,50.0,0.0,-0.0925
188,0,0,10,10,50.0,2.0,50.0,0.0,-0.0925
189,0,0,10,11,50.0,2.0,50.0,0.0,-0.0925
190,0,0,10,12,50.0,1.9999995231628418,50.0,0.0,-0.09249998092651596
191,0,0,10,13,50.0,1.9999916553497314,50.0,0.0,-0.0924996662146856
192,0,0,10,14,50.0,2.0,50.0,0.0,-0.0925
193,0,0,10,15,50.0,2.0,50.0,0.0,-0.0925
194,0,0,10,16,50.0,2.0,50.0,0.0,-0.0925
195,0,0,10,17,50.0,2.0,50.0,0.0,-0.0925
196,0,0,10,18,50.0,2.0,50.0,0.0,-0.0925
197,0,0,10,19,50.0,2.0,50.0,0.0,-0.0925
198,0,0,10,20,50.0,2.0,50.0,0.0,-0.0925
199,0,0,11,1,50.0,2.0,50.0,0.0,-0.0925
200,0,0,11,2,50.0,2.0,50.0,0.0,-0.0925
201,0,0,11,3,50.0,2.0,50.0,0.0,-0.0925
202,0,0,11,4,50.0,2.0,50.0,0.0,-0.0925
203,0,0,11,5,50.0,2.0,50.0,0.0,-0.0925
204,0,0,11,6,50.0,2.0,50.0,0.0,-0.0925
205,0,0,11,7,50.0,2.0,50.0,0.0,-0.0925
206,0,0,11,8,50.0,2.0,50.0,0.0,-0.0925
207,0,0,11,9,50.0,2.0,50.0,0.0,-0.0925
208,0,0,11,10,50.0,2.0,50.0,0.0,-0.0925
209,0,0,11,11,50.0,2.0,50.0,0.0,-0.0925
210,0,0,11,12,50.0,1.9999995231628418,50.0,0.0,-0.09249998092651596
211,0,0,11,13,50.0,1.9999971389770508,50.0,0.0,-0.09249988555916389
212,0,0,11,14,50.0,2.0,50.0,0.0,-0.0925
213,0,0,11,15,50.0,2.0,50.0,0.0,-0.0925
214,0,0,11,16,50.0,2.0,50.0,0.0,-0.0925
215,0,0,11,17,50.0,2.0,50.0,0.0,-0.0925
216,0,0,11,18,50.0,2.0,50.0,0.0,-0.0925
217,0,0,11,19,50.0,2.0,50.0,0.0,-0.0925
218,0,0,11,20,50.0,2.0,50.0,0.0,-0.0925
219,0,0,12,1,50.0,2.0,50.0,0.0,-0.0925
220,0,0,12,2,50.0,2.0,50.0,0.0,-0.0925
221,0,0,12,3,50.0,2.0,50.0,0.0,-0.0925
222,0,0,12,4,50.0,2.0,50.0,0.0,-0.0925
223,0,0,12,5,50.0,2.0,50.0,0.0,-0.0925
224,0,0,12,6,50.0,2.0,50.0,0.0,-0.0925
225,0,0,12,7,50.0,2.0,50.0,0.0,-0.0925
226,0,0,12,8,50.0,2.0,50.0,0.0,-0.0925
227,0,0,12,9,50.0,2.0,50.0,0.0,-0.0925
228,0,0,12,10,50.0,2.0,50.0,0.0,-0.0925
229,0,0,12,11,50.0,2.0,50.0,0.0,-0.0925
230,0,0,12,12,50.0,2.0,50.0,0.0,-0.0925
231,0,0,12,13,50.0,1.9999990463256836,50.0,0.0,-0.09249996185303644
232,0,0,12,14,50.0,2.0,50.0,0.0,-0.0925
